"READ","ファイル名","試験名","FromTo",InsertFrontPage,"Page8","rotate"
"Y","芝中学付録","芝中学-0概要","1",N,"N","0"
"N",,,,,,
"Y","芝中学2021","芝中学-2021-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第1回-理科","15-23",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第1回-国語","31-24",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-算数","47-49",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-社会","50-62",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-理科","63-71",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-第2回-国語","72-78",Y,"Y","0"
"Y","芝中学2021","芝中学-2021-解答","32-45,79-92",N,"N","0"
"Y","芝中学付録","芝中学-2021-第1回-解答用紙","34-37",N,"N","0"
"Y","芝中学付録","芝中学-2021-第2回-解答用紙","38-40",N,"N","0"
"N",,,,,,
"Y","芝中学2022","芝中学-2022-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第1回-理科","15-24",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第1回-国語","30-25",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第2回-算数","45-48",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第2回-社会","49-59",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第2回-理科","60-70",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-第2回-国語","76-71",Y,"Y","0"
"Y","芝中学2022","芝中学-2022-解答","31-43,77-90",N,"N","0"
"Y","芝中学付録","芝中学-2022-第1回-解答用紙","26-29",N,"N","0"
"Y","芝中学付録","芝中学-2022-第2回-解答用紙","30-33",N,"N","0"
"N",,,,,,
"Y","芝中学2023","芝中学-2023-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第1回-理科","15-26",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第1回-国語","33-27",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第2回-算数","47-49",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第2回-社会","50-60",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第2回-理科","61-71",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-第2回-国語","78-72",Y,"Y","0"
"Y","芝中学2023","芝中学-2023-解答","34-46,79-92",N,"N","0"
"Y","芝中学付録","芝中学-2023-第1回-解答用紙","18-21",N,"N","0"
"Y","芝中学付録","芝中学-2023-第2回-解答用紙","22-25",N,"N","0"
"N",,,,,,
"Y","芝中学2024","芝中学-2024-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第1回-理科","15-25",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第1回-国語","32-26",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第2回-算数","45-47",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第2回-社会","48-57",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第2回-理科","58-68",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-第2回-国語","75-69",Y,"Y","0"
"Y","芝中学2024","芝中学-2024-解答","33-44,76-88",N,"N","0"
"Y","芝中学付録","芝中学-2024-第1回-解答用紙","10-13",N,"N","0"
"Y","芝中学付録","芝中学-2024-第2回-解答用紙","14-17",N,"N","0"
"N",,,,,,
"Y","芝中学2025","芝中学-2025-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-社会","4-14",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-理科","15-24",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第1回-国語","33-25",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-算数","49-51",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-社会","52-63",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-理科","64-76",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-第2回-国語","85-77",Y,"Y","0"
"Y","芝中学2025","芝中学-2025-解答","34-47,86-99",N,"N","0"
"Y","芝中学付録","芝中学-2025-第1回-解答用紙","2-5",N,"N","0"
"Y","芝中学付録","芝中学-2025-第2回-解答用紙","6-9",N,"N","0"
"N",,,,,,
"Y","芝中学2020_1","芝中学-2020-第1回-算数","1-3",Y,"Y","0"
"Y","芝中学2020_1","芝中学-2020-第1回-社会","4-11",Y,"Y","0"
"Y","芝中学2020_1","芝中学-2020-第1回-理科","12-22",Y,"Y","0"
"Y","芝中学2020_1","芝中学-2020-第1回-国語","29-23",Y,"Y","0"
"Y","芝中学2020_1","芝中学-2020-第1回-解答","30-42",N,"N","0"
"Y","芝中学2020_2","芝中学-2020-第2回-算数","1-3",Y,"Y","0"
"Y","芝中学2020_2","芝中学-2020-第2回-社会","4-13",Y,"Y","0"
"Y","芝中学2020_2","芝中学-2020-第2回-理科","14-25",Y,"Y","0"
"Y","芝中学2020_2","芝中学-2020-第2回-国語","33-26",Y,"Y","0"
"Y","芝中学2020_2","芝中学-2020-第2回-解答","34-48",N,"N","0"
"N",,,,,,
"Y","芝中学2019_1","芝中学-2019-第1回-算数","1-2",Y,"Y","0"
"Y","芝中学2019_1","芝中学-2019-第1回-社会","3-11",Y,"Y","0"
"Y","芝中学2019_1","芝中学-2019-第1回-理科","12-20",Y,"Y","0"
"Y","芝中学2019_1","芝中学-2019-第1回-国語","27-21",Y,"Y","0"
"Y","芝中学2019_1","芝中学-2019-第1回-解答","28-40",N,"N","0"
"Y","芝中学2019_2","芝中学-2019-第2回-算数","1-3",Y,"Y","0"
"Y","芝中学2019_2","芝中学-2019-第2回-社会","4-14",Y,"Y","0"
"Y","芝中学2019_2","芝中学-2019-第2回-理科","15-24",Y,"Y","0"
"Y","芝中学2019_2","芝中学-2019-第2回-国語","30-25",Y,"Y","0"
"Y","芝中学2019_2","芝中学-2019-第2回-解答","31-43",N,"N","0"
"N",,,,,,
"Y","芝中学付録OLD","芝中学-2020-第1回-解答用紙","2-5",N,"N","0"
"Y","芝中学付録OLD","芝中学-2020-第2回-解答用紙","6-9",N,"N","0"
"Y","芝中学付録OLD","芝中学-2019-第1回-解答用紙","10-13",N,"N","0"
"Y","芝中学付録OLD","芝中学-2019-第2回-解答用紙","14-17",N,"N","0"
"Y","芝中学付録OLD","芝中学-2018-第1回-解答用紙","18-21",N,"N","0"
"Y","芝中学付録OLD","芝中学-2018-第2回-解答用紙","22-25",N,"N","0"
"Y","芝中学付録OLD","芝中学-2017-第1回-解答用紙","26-29",N,"N","0"
"Y","芝中学付録OLD","芝中学-2017-第2回-解答用紙","30-33",N,"N","0"
